                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  2429960927 |  2435127097 |  2447854936 |  2462273462 |  2470919179 |  2465163342 |  2668155973 |  2660425942
  Cycles                             |   927173232 |   927173232 |   927173232 |   927173232 |   927173232 |   927173232 |   927173232 |   927173232
  IPC                                |        2.62 |        2.63 |        2.64 |        2.66 |        2.67 |        2.66 |        2.88 |        2.87
  Time (ns)                          |   278430400 |   278430400 |   278430400 |   278430400 |   278430400 |   278430400 |   278430400 |   278430400
  Idle time (ns)                     |      175605 |      512280 |      687143 |      512980 |      688707 |      653423 |      695441 |      623817
  Idle time (%)                      |        0.1% |        0.2% |        0.2% |        0.2% |        0.2% |        0.2% |        0.2% |        0.2%
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |    13957698 |    15813211 |    20757401 |    24878833 |    27347347 |    25704036 |   307654777 |   305446020
  num incorrect                      |       50435 |       31150 |       32760 |       31326 |       32963 |       31036 |       27621 |       27788
  misprediction rate                 |       0.36% |       0.20% |       0.16% |       0.13% |       0.12% |       0.12% |       0.01% |       0.01%
  mpki                               |        0.02 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   230438017 |   230142429 |   229736115 |   229735629 |   229735695 |   229735974 |   153923755 |   153923753
    num misses                       |         686 |          43 |          43 |          43 |          43 |          43 |          36 |          36
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |  1099018395 |  1098827685 |  1099305626 |  1101356195 |  1102591424 |  1101778412 |   883348046 |   882242744
    num misses                       |     1421713 |     1391199 |     1462518 |     1404009 |     1406837 |     1402032 |      940206 |      939811
    miss rate                        |       0.13% |       0.13% |       0.13% |       0.13% |       0.13% |       0.13% |       0.11% |       0.11%
    mpki                             |        0.59 |        0.57 |        0.60 |        0.57 |        0.57 |        0.57 |        0.35 |        0.35
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |     1422399 |     1391242 |     1462561 |     1404052 |     1406880 |     1402075 |      940242 |      939847
    num misses                       |       34402 |       39328 |       34087 |       30356 |       30268 |       33665 |       23579 |       26413
    miss rate                        |       2.42% |       2.83% |       2.33% |       2.16% |       2.15% |       2.40% |       2.51% |       2.81%
    mpki                             |        0.01 |        0.02 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   230438017 |   230142429 |   229736115 |   229735629 |   229735695 |   229735974 |   153923755 |   153923753
    num cache misses                 |      322022 |      262501 |      245128 |      255179 |      260458 |      241959 |      209247 |      204459
    miss rate                        |       0.14% |       0.11% |       0.11% |       0.11% |       0.11% |       0.11% |       0.14% |       0.13%
    mpki                             |        0.13 |        0.11 |        0.10 |        0.10 |        0.11 |        0.10 |        0.08 |        0.08
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |  1099018395 |  1098827685 |  1099305626 |  1101356195 |  1102591424 |  1101778412 |   883348046 |   882242744
    num cache misses                 |    13307315 |    13353902 |    13025542 |    12965471 |    12905042 |    12969235 |     9282504 |     9234171
    miss rate                        |       1.21% |       1.22% |       1.18% |       1.18% |       1.17% |       1.18% |       1.05% |       1.05%
    mpki                             |        5.48 |        5.48 |        5.32 |        5.27 |        5.22 |        5.26 |        3.48 |        3.47
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |    13918435 |    13848828 |    13516728 |    13581592 |    13516761 |    13524581 |     9745434 |     9723839
    num cache misses                 |     3956481 |     3756776 |     3610077 |     3346117 |     3459786 |     3566883 |     2452216 |     2601636
    miss rate                        |      28.43% |      27.13% |      26.71% |      24.64% |      25.60% |      26.37% |      25.16% |      26.76%
    mpki                             |        1.63 |        1.54 |        1.47 |        1.36 |        1.40 |        1.45 |        0.92 |        0.98
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |     4270194 |     3999140 |     3874461 |     3715471 |     3840932 |     3908405 |     2778287 |     3010557
    num cache misses                 |      425982 |      319045 |      319522 |      702448 |      560619 |      384305 |      259634 |      369777
    miss rate                        |       9.98% |       7.98% |       8.25% |      18.91% |      14.60% |       9.83% |       9.35% |      12.28%
    mpki                             |        0.18 |        0.13 |        0.13 |        0.29 |        0.23 |        0.16 |        0.10 |        0.14
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |       26818 |           0 |           0 |           0 |       26759 |           0 |           0 |           0
  average dram access latency (ns)   |    16222.22 |         inf |         inf |         inf |    16256.65 |         inf |         inf |         inf
  average dram queueing delay        |    16168.79 |        0.00 |        0.00 |        0.00 |    16203.22 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |        5400 |         638 |         642 |         680 |         427 |         670 |         501 |         378
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |      395133 |      312856 |      313320 |      695987 |      541973 |      377289 |      252295 |      355256
