                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |  265703552 |  266997146 |  273689305 |  273600428 |  275452244 |  269195605 |  273725660 |  274526140
  Cycles                             |  241399359 |  241399359 |  241399359 |  241399359 |  241399359 |  241399359 |  241399359 |  241399359
  IPC                                |       1.10 |       1.11 |       1.13 |       1.13 |       1.14 |       1.12 |       1.13 |       1.14
  Time (ns)                          |   72492300 |   72492300 |   72492300 |   72492300 |   72492300 |   72492300 |   72492300 |   72492300
  Idle time (ns)                     |    1719141 |    2363501 |    1369559 |    1987228 |    1866983 |    1312360 |    1362698 |    1338350
  Idle time (%)                      |       2.4% |       3.3% |       1.9% |       2.7% |       2.6% |       1.8% |       1.9% |       1.8%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |   44893336 |   45196205 |   47764063 |   47543916 |   48021976 |   45524039 |   47126424 |   47383431
  num incorrect                      |    1234434 |    1256571 |    1257192 |    1278084 |    1267002 |    1285767 |    1263430 |    1241513
  misprediction rate                 |      2.68% |      2.71% |      2.56% |      2.62% |      2.57% |      2.75% |      2.61% |      2.55%
  mpki                               |       4.65 |       4.71 |       4.59 |       4.67 |       4.60 |       4.78 |       4.62 |       4.52
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   10533522 |   10546920 |   10303559 |   10457623 |   10597488 |   11034207 |   10899274 |   11073687
    num misses                       |        448 |         31 |         31 |         31 |         31 |         31 |         31 |         31
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   97180857 |   97403661 |   96953719 |   97298612 |   97702605 |   98269620 |   98273879 |   98395447
    num misses                       |      99708 |     100362 |      97523 |      96948 |      97535 |      99870 |      98122 |      97284
    miss rate                        |      0.10% |      0.10% |      0.10% |      0.10% |      0.10% |      0.10% |      0.10% |      0.10%
    mpki                             |       0.38 |       0.38 |       0.36 |       0.35 |       0.35 |       0.37 |       0.36 |       0.35
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |     100156 |     100393 |      97554 |      96979 |      97566 |      99901 |      98153 |      97315
    num misses                       |       4398 |       4767 |       3134 |       2918 |       4646 |       2930 |       5957 |       2985
    miss rate                        |      4.39% |      4.75% |      3.21% |      3.01% |      4.76% |      2.93% |      6.07% |      3.07%
    mpki                             |       0.02 |       0.02 |       0.01 |       0.01 |       0.02 |       0.01 |       0.02 |       0.01
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |   10533522 |   10546920 |   10303559 |   10457623 |   10597488 |   11034207 |   10899274 |   11073687
    num cache misses                 |      33800 |      15060 |      15506 |      14816 |      15437 |      15915 |      15857 |      14846
    miss rate                        |      0.32% |      0.14% |      0.15% |      0.14% |      0.15% |      0.14% |      0.15% |      0.13%
    mpki                             |       0.13 |       0.06 |       0.06 |       0.05 |       0.06 |       0.06 |       0.06 |       0.05
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   97180857 |   97403661 |   96953719 |   97298612 |   97702605 |   98269620 |   98273879 |   98395447
    num cache misses                 |   19584272 |   19767715 |   19262324 |   19303603 |   19260154 |   19764617 |   19578075 |   19553879
    miss rate                        |     20.15% |     20.29% |     19.87% |     19.84% |     19.71% |     20.11% |     19.92% |     19.87%
    mpki                             |      73.71 |      74.04 |      70.38 |      70.55 |      69.92 |      73.42 |      71.52 |      71.23
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |   19664451 |   19827923 |   19323397 |   19364342 |   19321187 |   19827515 |   19639076 |   19614326
    num cache misses                 |    5665583 |    5675906 |    5537004 |    5561440 |    5562194 |    5682283 |    5622173 |    5610244
    miss rate                        |     28.81% |     28.63% |     28.65% |     28.72% |     28.79% |     28.66% |     28.63% |     28.60%
    mpki                             |      21.32 |      21.26 |      20.23 |      20.33 |      20.19 |      21.11 |      20.54 |      20.44
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |    5713380 |    5721409 |    5582930 |    5607723 |    5608533 |    5729640 |    5667703 |    5656234
    num cache misses                 |      88409 |      78891 |      79489 |      76844 |      80981 |      75288 |      75102 |      82146
    miss rate                        |      1.55% |      1.38% |      1.42% |      1.37% |      1.44% |      1.31% |      1.33% |      1.45%
    mpki                             |       0.33 |       0.30 |       0.29 |       0.28 |       0.29 |       0.28 |       0.27 |       0.30
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |     115770 |          0 |          0 |          0 |     115703 |          0 |          0 |          0
  average dram access latency (ns)   |  169896.73 |        inf |        inf |        inf |  169703.79 |        inf |        inf |        inf
  average dram queueing delay        |  169843.30 |       0.00 |       0.00 |       0.00 |  169650.36 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00% |      0.00% |      0.00% |      1.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |       8826 |       3920 |       3791 |       3820 |       3821 |       3904 |       3852 |       3898
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      47670 |      49813 |      50899 |      48444 |      51900 |      45334 |      46169 |      53350
