                                     | Core 0       | Core 1       | Core 2       | Core 3       | Core 4       | Core 5       | Core 6       | Core 7      
  Instructions                       |  17253066629 |  16938590965 |  16890795022 |  16229198222 |  16478823189 |  16404269932 |  16603724733 |  16328431702
  Cycles                             |  14517144657 |  14517144657 |  14517144657 |  14517144657 |  14517144657 |  14517144657 |  14517144657 |  14517144657
  IPC                                |         1.19 |         1.17 |         1.16 |         1.12 |         1.14 |         1.13 |         1.14 |         1.12
  Time (ns)                          |   4359502900 |   4359502900 |   4359502900 |   4359502900 |   4359502900 |   4359502900 |   4359502900 |   4359502900
  Idle time (ns)                     |    155789397 |    344548206 |    305895498 |    277259565 |    126021687 |    254696103 |    158266341 |     90252505
  Idle time (%)                      |         3.6% |         7.9% |         7.0% |         6.4% |         2.9% |         5.8% |         3.6% |         2.1%
Branch predictor stats               |              |              |              |              |              |              |              |             
  num correct                        |   3100083094 |   3056921017 |   3048813642 |   2884098116 |   2955887394 |   2928800964 |   2990275212 |   2927750972
  num incorrect                      |    122524173 |    120110412 |    120077880 |    123010794 |    124484720 |    121449002 |    123405227 |    125195042
  misprediction rate                 |        3.80% |        3.78% |        3.79% |        4.09% |        4.04% |        3.98% |        3.96% |        4.10%
  mpki                               |         7.10 |         7.09 |         7.11 |         7.58 |         7.55 |         7.40 |         7.43 |         7.67
TLB Summary                          |              |              |              |              |              |              |              |             
  I-TLB                              |              |              |              |              |              |              |              |             
    num accesses                     |   2955617816 |   2905340716 |   2903515310 |   2775979669 |   2822800428 |   2804545669 |   2839953887 |   2791828684
    num misses                       |          157 |           72 |           72 |           65 |           65 |           65 |           65 |           65
    miss rate                        |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00%
    mpki                             |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00
  D-TLB                              |              |              |              |              |              |              |              |             
    num accesses                     |   5792537097 |   5685712877 |   5654073021 |   5496013899 |   5546906625 |   5540029752 |   5586347543 |   5514147086
    num misses                       |     55001501 |     40625124 |     43441430 |     51851286 |     47868590 |     58854311 |     64000581 |     52818777
    miss rate                        |        0.95% |        0.71% |        0.77% |        0.94% |        0.86% |        1.06% |        1.15% |        0.96%
    mpki                             |         3.19 |         2.40 |         2.57 |         3.19 |         2.90 |         3.59 |         3.85 |         3.23
  L2 TLB                             |              |              |              |              |              |              |              |             
    num accesses                     |     55001658 |     40625196 |     43441502 |     51851351 |     47868655 |     58854376 |     64000646 |     52818842
    num misses                       |      6777022 |      4279711 |      5725416 |      7520477 |      8613135 |      8187365 |      8902605 |     10108064
    miss rate                        |       12.32% |       10.53% |       13.18% |       14.50% |       17.99% |       13.91% |       13.91% |       19.14%
    mpki                             |         0.39 |         0.25 |         0.34 |         0.46 |         0.52 |         0.50 |         0.54 |         0.62
Cache Summary                        |              |              |              |              |              |              |              |             
  Cache L1-I                         |              |              |              |              |              |              |              |             
    num cache accesses               |   2955617816 |   2905340716 |   2903515310 |   2775979669 |   2822800428 |   2804545669 |   2839953887 |   2791828684
    num cache misses                 |       515304 |       383430 |       650764 |       502729 |       628900 |       532694 |       555718 |       692135
    miss rate                        |        0.02% |        0.01% |        0.02% |        0.02% |        0.02% |        0.02% |        0.02% |        0.02%
    mpki                             |         0.03 |         0.02 |         0.04 |         0.03 |         0.04 |         0.03 |         0.03 |         0.04
  Cache L1-D                         |              |              |              |              |              |              |              |             
    num cache accesses               |   5792537097 |   5685712877 |   5654073021 |   5496013899 |   5546906625 |   5540029752 |   5586347543 |   5514147086
    num cache misses                 |    190803702 |    122510038 |    124030231 |    132641154 |    139924790 |    127909811 |    133063049 |    143866266
    miss rate                        |        3.29% |        2.15% |        2.19% |        2.41% |        2.52% |        2.31% |        2.38% |        2.61%
    mpki                             |        11.06 |         7.23 |         7.34 |         8.17 |         8.49 |         7.80 |         8.01 |         8.81
  Cache L2                           |              |              |              |              |              |              |              |             
    num cache accesses               |    192858398 |    123445128 |    125964457 |    134591322 |    142951592 |    130241722 |    135309162 |    147161676
    num cache misses                 |     70616118 |     50732298 |     54183713 |     58213955 |     64070858 |     55980434 |     63218282 |     67518826
    miss rate                        |       36.62% |       41.10% |       43.02% |       43.25% |       44.82% |       42.98% |       46.72% |       45.88%
    mpki                             |         4.09 |         3.00 |         3.21 |         3.59 |         3.89 |         3.41 |         3.81 |         4.14
  Cache L3                           |              |              |              |              |              |              |              |             
    num cache accesses               |     72159073 |     51286688 |     55470442 |     59664839 |     66472298 |     57783658 |     64914123 |     70125832
    num cache misses                 |     22420506 |     20700278 |     21700128 |     21763699 |     24393938 |     23284905 |     23195898 |     24582411
    miss rate                        |       31.07% |       40.36% |       39.12% |       36.48% |       36.70% |       40.30% |       35.73% |       35.05%
    mpki                             |         1.30 |         1.22 |         1.28 |         1.34 |         1.48 |         1.42 |         1.40 |         1.51
DRAM summary                         |              |              |              |              |              |              |              |             
  num dram accesses                  |    138891846 |            0 |            0 |            0 |    138867974 |            0 |            0 |            0
  average dram access latency (ns)   |        56.99 |          inf |          inf |          inf |        57.81 |          inf |          inf |          inf
  average dram queueing delay        |         3.56 |         0.00 |         0.00 |         0.00 |         4.38 |         0.00 |         0.00 |         0.00
  average dram bandwidth utilization |       26.00% |        0.00% |        0.00% |        0.00% |       26.00% |        0.00% |        0.00% |        0.00%
Coherency Traffic                    |              |              |              |              |              |              |              |             
  num loads from dram                |     13305640 |     11337478 |     13092539 |     13337928 |     16092266 |     14564625 |     14413776 |     16548189
  num loads from dram cache          |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0
  num loads from remote cache        |          702 |          564 |          613 |          759 |         1086 |          795 |          853 |          437
