                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |  718698770 |  719372114 |  719479349 |  719990796 |  719314741 |  719541456 |  720282323 |  717494280
  Cycles                             |  836540622 |  836540622 |  836540622 |  836540622 |  836540622 |  836540622 |  836540622 |  836540622
  IPC                                |       0.86 |       0.86 |       0.86 |       0.86 |       0.86 |       0.86 |       0.86 |       0.86
  Time (ns)                          |  251213400 |  251213400 |  251213400 |  251213400 |  251213400 |  251213400 |  251213400 |  251213400
  Idle time (ns)                     |        643 |     938760 |     901273 |     852324 |     950679 |     950765 |     950767 |    1140042
  Idle time (%)                      |       0.0% |       0.4% |       0.4% |       0.3% |       0.4% |       0.4% |       0.4% |       0.5%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |   47927335 |   48366620 |   48389584 |   48537767 |   48292316 |   48470570 |   48630302 |   47789521
  num incorrect                      |    5793379 |    5778302 |    5777635 |    5775410 |    5777522 |    5780841 |    5774819 |    5775900
  misprediction rate                 |     10.78% |     10.67% |     10.67% |     10.63% |     10.69% |     10.66% |     10.61% |     10.78%
  mpki                               |       8.06 |       8.03 |       8.03 |       8.02 |       8.03 |       8.03 |       8.02 |       8.05
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   87049833 |   86668118 |   86678038 |   86670568 |   86697343 |   86643523 |   86674293 |   86690592
    num misses                       |        368 |         25 |         18 |         18 |         18 |         18 |         18 |         18
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |  210210657 |  209589633 |  209623074 |  209684927 |  209644323 |  209568517 |  209737248 |  209365107
    num misses                       |      38220 |      34165 |      34149 |      34126 |      34148 |      34147 |      34159 |      34146
    miss rate                        |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |      38588 |      34190 |      34167 |      34144 |      34166 |      34165 |      34177 |      34164
    num misses                       |       3457 |        723 |        675 |        853 |        741 |        673 |        735 |        804
    miss rate                        |      8.96% |      2.11% |      1.98% |      2.50% |      2.17% |      1.97% |      2.15% |      2.35%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |   87049833 |   86668118 |   86678038 |   86670568 |   86697343 |   86643523 |   86674293 |   86690592
    num cache misses                 |      23225 |      13760 |      13689 |      13722 |      13779 |      13926 |      13824 |      13702
    miss rate                        |      0.03% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.03 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |  210210657 |  209589633 |  209623074 |  209684927 |  209644323 |  209568517 |  209737248 |  209365107
    num cache misses                 |    2756322 |    2612845 |    2612430 |    2612299 |    2613064 |    2612907 |    2612558 |    2612235
    miss rate                        |      1.31% |      1.25% |      1.25% |      1.25% |      1.25% |      1.25% |      1.25% |      1.25%
    mpki                             |       3.84 |       3.63 |       3.63 |       3.63 |       3.63 |       3.63 |       3.63 |       3.64
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |    2779833 |    2626607 |    2626119 |    2626021 |    2626850 |    2626838 |    2626387 |    2625943
    num cache misses                 |    2306598 |    2157300 |    2157197 |    2157246 |    2159182 |    2159269 |    2157361 |    2157013
    miss rate                        |     82.98% |     82.13% |     82.14% |     82.15% |     82.20% |     82.20% |     82.14% |     82.14%
    mpki                             |       3.21 |       3.00 |       3.00 |       3.00 |       3.00 |       3.00 |       3.00 |       3.01
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |    2307376 |    2157302 |    2157197 |    2157246 |    2159189 |    2159274 |    2157366 |    2157019
    num cache misses                 |     148861 |        116 |         84 |         76 |      16539 |      16506 |      16542 |      16522
    miss rate                        |      6.45% |      0.01% |      0.00% |      0.00% |      0.77% |      0.76% |      0.77% |      0.77%
    mpki                             |       0.21 |       0.00 |       0.00 |       0.00 |       0.02 |       0.02 |       0.02 |       0.02
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |      78463 |          0 |          0 |          0 |      78341 |          0 |          0 |          0
  average dram access latency (ns)   |   43023.22 |        inf |        inf |        inf |   43105.63 |        inf |        inf |        inf
  average dram queueing delay        |   42969.79 |       0.00 |       0.00 |       0.00 |   43052.20 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |       5098 |         27 |         34 |         31 |         31 |         30 |         38 |         28
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |         49 |         38 |         29 |         22 |         64 |         51 |         62 |         61
