                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |  197568131 |  211156119 |  212443025 |  209756683 |  201118442 |  199314349 |  203150342 |  209928417
  Cycles                             |  119268279 |  119268279 |  119268279 |  119268279 |  119268279 |  119268279 |  119268279 |  119268279
  IPC                                |       1.66 |       1.77 |       1.78 |       1.76 |       1.69 |       1.67 |       1.70 |       1.76
  Time (ns)                          |   35816300 |   35816300 |   35816300 |   35816300 |   35816300 |   35816300 |   35816300 |   35816300
  Idle time (ns)                     |     387308 |    3713166 |    3201987 |    3374090 |    1441857 |    3212611 |    2958928 |    4700714
  Idle time (%)                      |       1.1% |      10.4% |       8.9% |       9.4% |       4.0% |       9.0% |       8.3% |      13.1%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |   16023851 |   20077761 |   20445447 |   19677906 |   17210026 |   16694371 |   17790592 |   19727171
  num incorrect                      |      37711 |      21270 |      21271 |      21281 |      21255 |      21282 |      21252 |      21257
  misprediction rate                 |      0.23% |      0.11% |      0.10% |      0.11% |      0.12% |      0.13% |      0.12% |      0.11%
  mpki                               |       0.19 |       0.10 |       0.10 |       0.10 |       0.11 |       0.11 |       0.10 |       0.10
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   20441804 |   20290427 |   20290429 |   20290427 |   20290272 |   20290427 |   20290264 |   20290270
    num misses                       |        404 |         27 |         27 |         27 |         27 |         27 |         27 |         27
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   62396220 |   63913347 |   64097184 |   63713427 |   62479089 |   62221685 |   62769331 |   63737631
    num misses                       |      46078 |      44414 |      45237 |      46322 |      46767 |      48331 |      51696 |      44403
    miss rate                        |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.08% |      0.08% |      0.07%
    mpki                             |       0.23 |       0.21 |       0.21 |       0.22 |       0.23 |       0.24 |       0.25 |       0.21
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |      46482 |      44441 |      45264 |      46349 |      46794 |      48358 |      51723 |      44430
    num misses                       |      12444 |      11404 |      11387 |      11453 |      11420 |      11414 |      11674 |      11440
    miss rate                        |     26.77% |     25.66% |     25.16% |     24.71% |     24.40% |     23.60% |     22.57% |     25.75%
    mpki                             |       0.06 |       0.05 |       0.05 |       0.05 |       0.06 |       0.06 |       0.06 |       0.05
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |   20441804 |   20290427 |   20290429 |   20290427 |   20290272 |   20290427 |   20290264 |   20290270
    num cache misses                 |      21035 |       8234 |       8363 |       8141 |       8334 |       8260 |       8342 |       8193
    miss rate                        |      0.10% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04%
    mpki                             |       0.11 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   62396220 |   63913347 |   64097184 |   63713427 |   62479089 |   62221685 |   62769331 |   63737631
    num cache misses                 |    6614670 |    6578800 |    6580949 |    6578332 |    6580059 |    6577942 |    6579293 |    6578063
    miss rate                        |     10.60% |     10.29% |     10.27% |     10.32% |     10.53% |     10.57% |     10.48% |     10.32%
    mpki                             |      33.48 |      31.16 |      30.98 |      31.36 |      32.72 |      33.00 |      32.39 |      31.33
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |    6716488 |    6667179 |    6667183 |    6666523 |    6671488 |    6670813 |    6669874 |    6668368
    num cache misses                 |    1038452 |    1013416 |    1012794 |    1018322 |    1015889 |    1020412 |    1016222 |    1015351
    miss rate                        |     15.46% |     15.20% |     15.19% |     15.28% |     15.23% |     15.30% |     15.24% |     15.23%
    mpki                             |       5.26 |       4.80 |       4.77 |       4.85 |       5.05 |       5.12 |       5.00 |       4.84
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |    1264663 |    1245419 |    1241852 |    1248968 |    1244362 |    1257228 |    1241403 |    1229754
    num cache misses                 |     442957 |     433283 |     430518 |     428295 |     437823 |     447782 |     428365 |     413279
    miss rate                        |     35.03% |     34.79% |     34.67% |     34.29% |     35.18% |     35.62% |     34.51% |     33.61%
    mpki                             |       2.24 |       2.05 |       2.03 |       2.04 |       2.18 |       2.25 |       2.11 |       1.97
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |    2356654 |          0 |          0 |          0 |    2356115 |          0 |          0 |          0
  average dram access latency (ns)   |   46786.59 |        inf |        inf |        inf |   47086.48 |        inf |        inf |        inf
  average dram queueing delay        |   46733.16 |       0.00 |       0.00 |       0.00 |   47033.06 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     55.00% |      0.00% |      0.00% |      0.00% |     55.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |     213532 |     207898 |     207791 |     215788 |     207491 |     217675 |     200714 |     187967
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      92995 |      97167 |      93405 |      84425 |      99012 |      96614 |      93813 |      92337
