                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   70441641 |   69382241 |   70196551 |   70176192 |   71604315 |   71208847 |   71721497 |   71674422
  Cycles                             |   85029219 |   85029219 |   85029219 |   85029219 |   85029219 |   85029219 |   85029219 |   85029219
  IPC                                |       0.83 |       0.82 |       0.83 |       0.83 |       0.84 |       0.84 |       0.84 |       0.84
  Time (ns)                          |   25534300 |   25534300 |   25534300 |   25534300 |   25534300 |   25534300 |   25534300 |   25534300
  Idle time (ns)                     |        214 |     415320 |     415584 |     415906 |     416151 |     416379 |     416612 |     416945
  Idle time (%)                      |       0.0% |       1.6% |       1.6% |       1.6% |       1.6% |       1.6% |       1.6% |       1.6%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |    5746835 |    5505911 |    5758521 |    5760693 |    6169855 |    6045412 |    6219365 |    6209351
  num incorrect                      |      23513 |      37717 |      15371 |      15419 |      15824 |      26301 |       4886 |       4976
  misprediction rate                 |      0.41% |      0.68% |      0.27% |      0.27% |      0.26% |      0.43% |      0.08% |      0.08%
  mpki                               |       0.33 |       0.54 |       0.22 |       0.22 |       0.22 |       0.37 |       0.07 |       0.07
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    7895843 |    7813613 |    7797620 |    7772956 |    7748561 |    7729702 |    7707895 |    7675027
    num misses                       |        129 |         25 |         27 |         18 |         18 |         20 |         20 |         20
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   23891876 |   23410134 |   23525754 |   23504251 |   23712200 |   23653663 |   23707041 |   23711744
    num misses                       |    1286444 |    1279485 |    1282473 |    1282379 |    1281276 |    1280994 |    1283453 |    1279180
    miss rate                        |      5.38% |      5.47% |      5.45% |      5.46% |      5.40% |      5.42% |      5.41% |      5.39%
    mpki                             |      18.26 |      18.44 |      18.27 |      18.27 |      17.89 |      17.99 |      17.89 |      17.85
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |    1286573 |    1279510 |    1282500 |    1282397 |    1281294 |    1281014 |    1283473 |    1279200
    num misses                       |     523741 |     519068 |     520282 |     526831 |     522573 |     521313 |     522629 |     518947
    miss rate                        |     40.71% |     40.57% |     40.57% |     41.08% |     40.78% |     40.70% |     40.72% |     40.57%
    mpki                             |       7.44 |       7.48 |       7.41 |       7.51 |       7.30 |       7.32 |       7.29 |       7.24
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |    7895843 |    7813613 |    7797620 |    7772956 |    7748561 |    7729702 |    7707895 |    7675027
    num cache misses                 |       5473 |       1361 |       1360 |       1261 |       1237 |       1247 |       1258 |       1399
    miss rate                        |      0.07% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.08 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   23891876 |   23410134 |   23525754 |   23504251 |   23712200 |   23653663 |   23707041 |   23711744
    num cache misses                 |     916228 |     908286 |     906140 |     910206 |     909549 |     907355 |     909084 |     904436
    miss rate                        |      3.83% |      3.88% |      3.85% |      3.87% |      3.84% |      3.84% |      3.83% |      3.81%
    mpki                             |      13.01 |      13.09 |      12.91 |      12.97 |      12.70 |      12.74 |      12.68 |      12.62
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |     922176 |     909923 |     907775 |     911754 |     911064 |     908853 |     910590 |     906083
    num cache misses                 |     454408 |     439009 |     439212 |     438977 |     438742 |     439518 |     439123 |     438736
    miss rate                        |     49.28% |     48.25% |     48.38% |     48.15% |     48.16% |     48.36% |     48.22% |     48.42%
    mpki                             |       6.45 |       6.33 |       6.26 |       6.26 |       6.13 |       6.17 |       6.12 |       6.12
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |     454892 |     439284 |     439487 |     439264 |     439019 |     439769 |     439371 |     438983
    num cache misses                 |      95572 |      81326 |      83628 |      92964 |      87108 |      82181 |      84032 |      92306
    miss rate                        |     21.01% |     18.51% |     19.03% |     21.16% |     19.84% |     18.69% |     19.13% |     21.03%
    mpki                             |       1.36 |       1.17 |       1.19 |       1.32 |       1.22 |       1.15 |       1.17 |       1.29
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |      73012 |          0 |          0 |          0 |      72965 |          0 |          0 |          0
  average dram access latency (ns)   |   26699.67 |        inf |        inf |        inf |   26720.14 |        inf |        inf |        inf
  average dram queueing delay        |   26646.24 |       0.00 |       0.00 |       0.00 |   26666.71 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      2.00% |      0.00% |      0.00% |      0.00% |      2.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |       4727 |         61 |         69 |         58 |        128 |        129 |        142 |         93
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      59136 |      57508 |      59192 |      64644 |      59346 |      57344 |      58827 |      63923
