                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  4530619093 |  4439956077 |  4374780202 |  4307072537 |  4154512918 |  4068778585 |  3992359120 |  3759428911
  Cycles                             |  2372261697 |  2372261697 |  2372261697 |  2372261697 |  2372261697 |  2372261697 |  2372261697 |  2372261697
  IPC                                |        1.91 |        1.87 |        1.84 |        1.82 |        1.75 |        1.72 |        1.68 |        1.58
  Time (ns)                          |   712390900 |   712390900 |   712390900 |   712390900 |   712390900 |   712390900 |   712390900 |   712390900
  Idle time (ns)                     |      620607 |     1080900 |     1171218 |     1169376 |      955269 |      940360 |      739575 |      832615
  Idle time (%)                      |        0.1% |        0.2% |        0.2% |        0.2% |        0.1% |        0.1% |        0.1% |        0.1%
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |   255480074 |   231297322 |   211790544 |   191165992 |   146510135 |   121154757 |    98516419 |   276291060
  num incorrect                      |      164059 |      144698 |      146112 |      158523 |      153179 |      158177 |      156701 |      174314
  misprediction rate                 |       0.06% |       0.06% |       0.07% |       0.08% |       0.10% |       0.13% |       0.16% |       0.06%
  mpki                               |        0.04 |        0.03 |        0.03 |        0.04 |        0.04 |        0.04 |        0.04 |        0.05
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   349598945 |   348328582 |   348328562 |   348329115 |   348328874 |   348328378 |   348329017 |   262586186
    num misses                       |         671 |          40 |          40 |          40 |          40 |          40 |          40 |          40
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |  1573712678 |  1559599123 |  1552958113 |  1547060881 |  1528505906 |  1518804514 |  1510324549 |  1285195327
    num misses                       |     6135320 |     5881629 |     5893032 |     5910793 |     6005998 |     6156974 |     5852839 |     4447971
    miss rate                        |       0.39% |       0.38% |       0.38% |       0.38% |       0.39% |       0.41% |       0.39% |       0.35%
    mpki                             |        1.35 |        1.32 |        1.35 |        1.37 |        1.45 |        1.51 |        1.47 |        1.18
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |     6135991 |     5881669 |     5893072 |     5910833 |     6006038 |     6157014 |     5852879 |     4448011
    num misses                       |      912124 |      745154 |      934537 |      794371 |      895753 |      805750 |      956557 |      585944
    miss rate                        |      14.87% |      12.67% |      15.86% |      13.44% |      14.91% |      13.09% |      16.34% |      13.17%
    mpki                             |        0.20 |        0.17 |        0.21 |        0.18 |        0.22 |        0.20 |        0.24 |        0.16
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   349598945 |   348328582 |   348328562 |   348329115 |   348328874 |   348328378 |   348329017 |   262586186
    num cache misses                 |      741559 |      713050 |      688304 |      685970 |      665631 |      678037 |      698428 |      494133
    miss rate                        |       0.21% |       0.20% |       0.20% |       0.20% |       0.19% |       0.19% |       0.20% |       0.19%
    mpki                             |        0.16 |        0.16 |        0.16 |        0.16 |        0.16 |        0.17 |        0.17 |        0.13
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |  1573712678 |  1559599123 |  1552958113 |  1547060881 |  1528505906 |  1518804514 |  1510324549 |  1285195327
    num cache misses                 |    83024510 |    82491703 |    82253388 |    82497820 |    82309484 |    82520288 |    82304789 |    62116779
    miss rate                        |       5.28% |       5.29% |       5.30% |       5.33% |       5.38% |       5.43% |       5.45% |       4.83%
    mpki                             |       18.33 |       18.58 |       18.80 |       19.15 |       19.81 |       20.28 |       20.62 |       16.52
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |    86393757 |    85848279 |    85577181 |    85817674 |    85695125 |    85898453 |    85700914 |    64643612
