                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |  177614863 |  208813744 |  204149547 |  211705537 |  209147875 |  198944826 |  206263840 |  205539311
  Cycles                             |  457119423 |  457119423 |  457119423 |  457119423 |  457119423 |  457119423 |  457119423 |  457119423
  IPC                                |       0.39 |       0.46 |       0.45 |       0.46 |       0.46 |       0.44 |       0.45 |       0.45
  Time (ns)                          |  137273100 |  137273100 |  137273100 |  137273100 |  137273100 |  137273100 |  137273100 |  137273100
  Idle time (ns)                     |    6952490 |   10303959 |    8343107 |   10731578 |   10109334 |    6262321 |    9630606 |    7010646
  Idle time (%)                      |       5.1% |       7.5% |       6.1% |       7.8% |       7.4% |       4.6% |       7.0% |       5.1%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |   18835713 |   28298539 |   26984026 |   29144245 |   28419880 |   25506855 |   27598777 |   27391773
  num incorrect                      |      36637 |      19118 |      18960 |      18949 |      18613 |      18336 |      18422 |      18412
  misprediction rate                 |      0.19% |      0.07% |      0.07% |      0.06% |      0.07% |      0.07% |      0.07% |      0.07%
  mpki                               |       0.21 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   19379669 |   19061985 |   19041777 |   19041247 |   19038618 |   19037812 |   19037481 |   19037424
    num misses                       |        310 |         32 |         32 |         32 |         32 |         32 |         34 |         34
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   66582007 |   70132800 |   69428085 |   70505303 |   70128934 |   68669967 |   69713732 |   69610333
    num misses                       |      76673 |      73000 |      72747 |      75108 |      72686 |      72870 |      72725 |      72684
    miss rate                        |      0.12% |      0.10% |      0.10% |      0.11% |      0.10% |      0.11% |      0.10% |      0.10%
    mpki                             |       0.43 |       0.35 |       0.36 |       0.35 |       0.35 |       0.37 |       0.35 |       0.35
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |      76983 |      73032 |      72779 |      75140 |      72718 |      72902 |      72759 |      72718
    num misses                       |      49949 |      48004 |      48196 |      48009 |      48100 |      47981 |      47993 |      47978
    miss rate                        |     64.88% |     65.73% |     66.22% |     63.89% |     66.15% |     65.82% |     65.96% |     65.98%
    mpki                             |       0.28 |       0.23 |       0.24 |       0.23 |       0.23 |       0.24 |       0.23 |       0.23
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |   19379669 |   19061985 |   19041777 |   19041247 |   19038618 |   19037812 |   19037481 |   19037424
    num cache misses                 |      34849 |      21404 |      20901 |      21026 |      21012 |      21385 |      20832 |      20874
    miss rate                        |      0.18% |      0.11% |      0.11% |      0.11% |      0.11% |      0.11% |      0.11% |      0.11%
    mpki                             |       0.20 |       0.10 |       0.10 |       0.10 |       0.10 |       0.11 |       0.10 |       0.10
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   66582007 |   70132800 |   69428085 |   70505303 |   70128934 |   68669967 |   69713732 |   69610333
    num cache misses                 |    4159138 |    4103839 |    4084928 |    4084981 |    4084612 |    4084939 |    4084176 |    4083340
    miss rate                        |      6.25% |      5.85% |      5.88% |      5.79% |      5.82% |      5.95% |      5.86% |      5.87%
    mpki                             |      23.42 |      19.65 |      20.01 |      19.30 |      19.53 |      20.53 |      19.80 |      19.87
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |    4585604 |    4491850 |    4472666 |    4474867 |    4476447 |    4471443 |    4471893 |    4470875
    num cache misses                 |    4047087 |    3993296 |    3975876 |    3975289 |    3975179 |    3975742 |    3974287 |    3972179
    miss rate                        |     88.26% |     88.90% |     88.89% |     88.84% |     88.80% |     88.91% |     88.87% |     88.85%
    mpki                             |      22.79 |      19.12 |      19.48 |      18.78 |      19.01 |      19.98 |      19.27 |      19.33
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |    4440561 |    4360105 |    4342863 |    4344297 |    4346187 |    4341006 |    4341319 |    4338886
    num cache misses                 |    2409076 |    2249921 |    2254790 |    2242690 |    2344156 |    2263429 |    2272252 |    2276813
    miss rate                        |     54.25% |     51.60% |     51.92% |     51.62% |     53.94% |     52.14% |     52.34% |     52.47%
    mpki                             |      13.56 |      10.77 |      11.04 |      10.59 |      11.21 |      11.38 |      11.02 |      11.08
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |   13148382 |          0 |          0 |          0 |   13148128 |          0 |          0 |          0
  average dram access latency (ns)   |   35772.36 |        inf |        inf |        inf |   35009.88 |        inf |        inf |        inf
  average dram queueing delay        |   35718.93 |       0.00 |       0.00 |       0.00 |   34956.45 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     80.00% |      0.00% |      0.00% |      0.00% |     80.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |    1699722 |    1648418 |    1686537 |    1648905 |    1653370 |    1677242 |    1684357 |    1687128
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      36962 |       7208 |       6764 |      19003 |      72175 |       3818 |       3784 |       8763
