                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  4256071595 |  4264829133 |  5132529419 |  5103407350 |  5129433014 |  5196630529 |  5192685464 |  5203949705
  Cycles                             |  2703138489 |  2703138489 |  2703138489 |  2703138489 |  2703138489 |  2703138489 |  2703138489 |  2703138489
  IPC                                |        1.57 |        1.58 |        1.90 |        1.89 |        1.90 |        1.92 |        1.92 |        1.93
  Time (ns)                          |   811753300 |   811753300 |   811753300 |   811753300 |   811753300 |   811753300 |   811753300 |   811753300
  Idle time (ns)                     |      359259 |      545528 |      813580 |     1325501 |     1544101 |     1710597 |     1543120 |     1582628
  Idle time (%)                      |        0.0% |        0.1% |        0.1% |        0.2% |        0.2% |        0.2% |        0.2% |        0.2%
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |   117572580 |   121004432 |   577028734 |   568707390 |   582550696 |   601750588 |   606786744 |   610005116
  num incorrect                      |      385966 |      367585 |      319979 |      319510 |      320548 |      319911 |      319441 |      319418
  misprediction rate                 |       0.33% |       0.30% |       0.06% |       0.06% |       0.05% |       0.05% |       0.05% |       0.05%
  mpki                               |        0.09 |        0.09 |        0.06 |        0.06 |        0.06 |        0.06 |        0.06 |        0.06
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   418367233 |   417707536 |   338104756 |   338106308 |   335716620 |   335716626 |   333802292 |   333802292
    num misses                       |         585 |          40 |          40 |          40 |          33 |          33 |          33 |          33
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |  1830014274 |  1828898440 |  1720676058 |  1716518626 |  1713599580 |  1723199228 |  1716302019 |  1717909979
    num misses                       |    16156763 |    16969206 |    13527055 |    14192023 |    14836707 |    13587645 |    12493332 |    13984262
    miss rate                        |       0.88% |       0.93% |       0.79% |       0.83% |       0.87% |       0.79% |       0.73% |       0.81%
    mpki                             |        3.80 |        3.98 |        2.64 |        2.78 |        2.89 |        2.61 |        2.41 |        2.69
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |    16157348 |    16969246 |    13527095 |    14192063 |    14836740 |    13587678 |    12493365 |    13984295
    num misses                       |      633120 |      594339 |      507008 |      486967 |      468012 |      488488 |      469621 |      484039
    miss rate                        |       3.92% |       3.50% |       3.75% |       3.43% |       3.15% |       3.60% |       3.76% |       3.46%
    mpki                             |        0.15 |        0.14 |        0.10 |        0.10 |        0.09 |        0.09 |        0.09 |        0.09
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   418367233 |   417707536 |   338104756 |   338106308 |   335716620 |   335716626 |   333802292 |   333802292
    num cache misses                 |      899867 |      648942 |      545153 |      574028 |      538133 |      594256 |      559013 |      593481
    miss rate                        |       0.22% |       0.16% |       0.16% |       0.17% |       0.16% |       0.18% |       0.17% |       0.18%
    mpki                             |        0.21 |        0.15 |        0.11 |        0.11 |        0.10 |        0.11 |        0.11 |        0.11
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |  1830014274 |  1828898440 |  1720676058 |  1716518626 |  1713599580 |  1723199228 |  1716302019 |  1717909979
    num cache misses                 |   126319166 |   126116132 |   103800772 |   103808554 |   102355310 |   102315120 |   100540146 |   100431965
    miss rate                        |       6.90% |       6.90% |       6.03% |       6.05% |       5.97% |       5.94% |       5.86% |       5.85%
    mpki                             |       29.68 |       29.57 |       20.22 |       20.34 |       19.95 |       19.69 |       19.36 |       19.30
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |   129643447 |   128323602 |   105592380 |   106233236 |   105223149 |   104302097 |   102490794 |   103379384
    num cache misses                 |    67634204 |    67306073 |    55745749 |    56241746 |    54272100 |    54211509 |    53147526 |    52813064
    miss rate                        |      52.17% |      52.45% |      52.79% |      52.94% |      51.58% |      51.98% |      51.86% |      51.09%
    mpki                             |       15.89 |       15.78 |       10.86 |       11.02 |       10.58 |       10.43 |       10.24 |       10.15
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |    70062138 |    68864601 |    56992204 |    58092400 |    56601802 |    55604228 |    54539160 |    55166997
    num cache misses                 |     2674798 |     2203146 |     1767186 |     2714725 |     3763644 |     1976708 |     1975258 |     2467979
    miss rate                        |       3.82% |       3.20% |       3.10% |       4.67% |       6.65% |       3.55% |       3.62% |       4.47%
    mpki                             |        0.63 |        0.52 |        0.34 |        0.53 |        0.73 |        0.38 |        0.38 |        0.47
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |       82769 |           0 |           0 |           0 |       82699 |           0 |           0 |           0
  average dram access latency (ns)   |    57845.09 |         inf |         inf |         inf |    57888.01 |         inf |         inf |         inf
  average dram queueing delay        |    57791.66 |        0.00 |        0.00 |        0.00 |    57834.58 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |        9497 |        4890 |        4749 |        4178 |        3529 |        3576 |        3572 |        3233
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |     2576517 |     2180994 |     1744996 |     2617783 |     3742807 |     1954122 |     1953300 |     2412274
