                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  2783647961 |  2732287919 |  2809094258 |  2807258403 |  2784907817 |  2799878003 |  2817723614 |  2820489039
  Cycles                             |  1582383366 |  1582383366 |  1582383366 |  1582383366 |  1582383366 |  1582383366 |  1582383366 |  1582383366
  IPC                                |        1.76 |        1.73 |        1.78 |        1.77 |        1.76 |        1.77 |        1.78 |        1.78
  Time (ns)                          |   475190200 |   475190200 |   475190200 |   475190200 |   475190200 |   475190200 |   475190200 |   475190200
  Idle time (ns)                     |    14463814 |    14396450 |     9809251 |     6780742 |    10853876 |     9301419 |    11780109 |    15399806
  Idle time (%)                      |        3.0% |        3.0% |        2.1% |        1.4% |        2.3% |        2.0% |        2.5% |        3.2%
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |   235088683 |   236947606 |   265488738 |   265523160 |   257640033 |   260250172 |   264095156 |   256481430
  num incorrect                      |      860387 |      713259 |      797885 |      842200 |      784658 |      834365 |      832158 |      895894
  misprediction rate                 |       0.36% |       0.30% |       0.30% |       0.32% |       0.30% |       0.32% |       0.31% |       0.35%
  mpki                               |        0.31 |        0.26 |        0.28 |        0.30 |        0.28 |        0.30 |        0.30 |        0.32
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   321670268 |   310486117 |   306344855 |   306136201 |   307139504 |   308476697 |   308906155 |   314003633
    num misses                       |         613 |          70 |          70 |          70 |          70 |          65 |          65 |          65
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |  1350396191 |  1311480929 |  1310851172 |  1309551241 |  1309233327 |  1313592699 |  1318721435 |  1333997828
    num misses                       |      731614 |      689283 |      805901 |      720019 |      952604 |     2317858 |      794099 |      847345
    miss rate                        |       0.05% |       0.05% |       0.06% |       0.05% |       0.07% |       0.18% |       0.06% |       0.06%
    mpki                             |        0.26 |        0.25 |        0.29 |        0.26 |        0.34 |        0.83 |        0.28 |        0.30
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |      732227 |      689353 |      805971 |      720089 |      952674 |     2317923 |      794164 |      847410
    num misses                       |      163753 |      127761 |      144697 |      147329 |      168402 |      194167 |      161620 |      160182
    miss rate                        |      22.36% |      18.53% |      17.95% |      20.46% |      17.68% |       8.38% |      20.35% |      18.90%
    mpki                             |        0.06 |        0.05 |        0.05 |        0.05 |        0.06 |        0.07 |        0.06 |        0.06
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   321670268 |   310486117 |   306344855 |   306136201 |   307139504 |   308476697 |   308906155 |   314003633
    num cache misses                 |      940263 |      608428 |      567945 |      575926 |      599623 |      586255 |      588440 |      601791
    miss rate                        |       0.29% |       0.20% |       0.19% |       0.19% |       0.20% |       0.19% |       0.19% |       0.19%
    mpki                             |        0.34 |        0.22 |        0.20 |        0.21 |        0.22 |        0.21 |        0.21 |        0.21
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |  1350396191 |  1311480929 |  1310851172 |  1309551241 |  1309233327 |  1313592699 |  1318721435 |  1333997828
    num cache misses                 |    39158847 |    38234128 |    37830984 |    37835995 |    37982070 |    37979206 |    38018435 |    38274475
    miss rate                        |       2.90% |       2.92% |       2.89% |       2.89% |       2.90% |       2.89% |       2.88% |       2.87%
    mpki                             |       14.07 |       13.99 |       13.47 |       13.48 |       13.64 |       13.56 |       13.49 |       13.57
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |    40737190 |    39343160 |    38963759 |    39106875 |    39498895 |    39094202 |    39085431 |    39161869
    num cache misses                 |    28146678 |    27638055 |    27208309 |    27248724 |    27240752 |    27171687 |    26993296 |    26956834
    miss rate                        |      69.09% |      70.25% |      69.83% |      69.68% |      68.97% |      69.50% |      69.06% |      68.83%
    mpki                             |       10.11 |       10.12 |        9.69 |        9.71 |        9.78 |        9.70 |        9.58 |        9.56
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |    28905201 |    28143460 |    27778403 |    27953140 |    28164384 |    27706766 |    27477066 |    27247368
    num cache misses                 |      486616 |      694154 |      735915 |     1260186 |     1402484 |      906244 |      801219 |      537643
    miss rate                        |       1.68% |       2.47% |       2.65% |       4.51% |       4.98% |       3.27% |       2.92% |       1.97%
    mpki                             |        0.17 |        0.25 |        0.26 |        0.45 |        0.50 |        0.32 |        0.28 |        0.19
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |       83395 |           0 |           0 |           0 |       83332 |           0 |           0 |           0
  average dram access latency (ns)   |    15440.60 |         inf |         inf |         inf |    15456.76 |         inf |         inf |         inf
  average dram queueing delay        |    15387.17 |        0.00 |        0.00 |        0.00 |    15403.33 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |        6720 |        2162 |        2026 |        1731 |        1973 |        2067 |        2069 |        2941
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |      283925 |      476616 |      503106 |      902228 |      983963 |      623808 |      569250 |      388407
